"Strain","maxProb","minProb","meanProb","medianProb","count"
"UWOCC CBS",0.13201166180758,0.13201166180758,0.13201166180758,0.13201166180758,1
"CYA 83/1",0.130562262849258,0.10811794685111,0.119340104850184,0.119340104850184,2
"[Microcystis aeruginosa]WR 70",0.128571428571429,0.128571428571429,0.128571428571429,0.128571428571429,1
"AQUAMEB-24",0.127984084880637,0.100998336106489,0.114491210493563,0.114491210493563,2
"[Planktothrix sp.]Max06",0.127412495911024,0.064030131826742,0.102453265847995,0.109544402219019,6
"CCAP 1459/11A",0.12495057334915,0.067753438614366,0.096352005981758,0.096352005981758,2
"TAU IL-215",0.123481781376518,0.0851268255188315,0.100093440061985,0.095882576676295,4
"[Microcystis aeruginosa]NPLJ-4",0.122651356993737,0.0837572674418605,0.0973863894359897,0.0857505438723715,3
"[Oscillatoria/Planktothrix agardhii]CCAP 1459/14",0.122455789122456,0.122455789122456,0.122455789122456,0.122455789122456,1
"bloom",0.122455789122456,0.107567017305734,0.115011403214095,0.115011403214095,2
"[Oscillatoria/Planktothrix rubescens]CBT 310",0.120420624151968,0.120420624151968,0.120420624151968,0.120420624151968,1
"[Microcystis aeruginosa]MK10.10",0.119971264367816,0.119971264367816,0.119971264367816,0.119971264367816,1
"[Anabaena sp.]202 A1",0.118299139642621,0.097348347257537,0.107823743450079,0.107823743450079,2
"[Anabaena sp.]202 A2",0.118299139642621,0.097348347257537,0.107823743450079,0.107823743450079,2
"[Planktothrix sp.]Max13",0.118181818181818,0.118181818181818,0.118181818181818,0.118181818181818,1
"NRC 525-17",0.117306419589676,0.0314940135346175,0.068200432470868,0.0620006483795895,4
"[Oscillatoria/Planktothrix agardhii]PH-123",0.115271419228254,0.115271419228254,0.115271419228254,0.115271419228254,1
"UTCC507",0.112897707834416,0.112897707834416,0.112897707834416,0.112897707834416,1
"TAU IL-89-2",0.112581725402647,0.112581725402647,0.112581725402647,0.112581725402647,1
"RST 9501",0.111805555555555,0.111805555555555,0.111805555555555,0.111805555555555,1
"[Microcystis sp.]RST9501",0.111486486486487,0.105907025515554,0.10869675600102,0.10869675600102,2
"AB2017/15",0.110689916603487,0.037977099236641,0.0757833372473511,0.0819802016761575,6
"[Microcystis aeruginosa]M.TN-2",0.108922969675845,0.108922969675845,0.108922969675845,0.108922969675845,1
"CBT344",0.108621529469069,0.056857855361596,0.0811146560546663,0.0778645833333335,3
"173",0.108564737370358,0.108564737370358,0.108564737370358,0.108564737370358,1
"208",0.108564737370358,0.108564737370358,0.108564737370358,0.108564737370358,1
"[Microcystis aeruginosa]NIES CRM No. 26",0.108400139421401,0.061910154775387,0.085155147098394,0.085155147098394,2
"NIES-I02",0.105630525825965,0.105630525825965,0.105630525825965,0.105630525825965,1
"[Dolicospermum sp.]NIVA-CYA 656",0.102564102564102,0.102564102564102,0.102564102564102,0.102564102564102,1
"[Phormidium sp.]CENA270",0.0868135481749425,0.071210579857579,0.0790120640162608,0.0790120640162608,2
"[Nostoc sp.]UK8911A",0.0837572674418605,0.0837572674418605,0.0837572674418605,0.0837572674418605,1
